,area_name,h_mean,avg_wagegap(hr)_STEM_vs_state,a_mean,avg_wagegap(yr)_STEM_vs_state,tot_emp_STEM,STEM_percentage,year
163,Alaska,46.02,14.232412610258088,95720,29595.568441685726,20050,6.55014701078079,2022
164,Arizona,47.83,19.650455004255146,99490,40866.98042630673,205590,6.781522750212758,2022
165,Arkansas,38.63,15.279851077313058,80350,31779.401140684407,48750,3.960709759188847,2022
166,California,66.5,31.303660216921905,138320,65106.817168901514,1369890,7.767648152852373,2022
167,Colorado,54.39,21.760575113594875,113130,45254.37368285973,256040,9.25531645706891,2022
168,Connecticut,52.41,19.09194126913105,109010,39702.665567480435,111320,6.823127041820154,2022
169,Delaware,53.23,23.298040438190156,110710,48451.75912713222,32870,7.2160874624047775,2022
170,District of Columbia,59.33,10.258818346496632,123400,21344.38721831751,76610,11.102094051155714,2022
171,Florida,45.33,18.417498868185092,94280,38301.96193193477,493440,5.357148673252364,2022
172,Georgia,48.62,20.731489495479476,101140,43142.13583244802,285610,6.192355224074757,2022
173,Hawaii,43.93,14.406863569123185,91380,29964.374327595484,29180,4.90519096288327,2022
174,Idaho,39.92,15.235494469664673,83030,31677.760778510696,45620,5.720950063956258,2022
175,Illinois,49.57,18.83848696107357,103110,39184.80679546969,338940,5.76044541734082,2022
176,Indiana,41.05,15.325702994523631,85380,31879.366042645743,148590,4.809298170660659,2022
177,Iowa,42.02,16.290354887930132,87390,33875.99626433758,82920,5.453540987056718,2022
178,Kansas,42.65,17.238918010460583,88720,35870.49970298894,81460,5.9011025629880764,2022
179,Kentucky,38.39,13.63490781202287,79850,28359.84331729301,83260,4.38353568006402,2022
180,Louisiana,42.43,17.94226420403812,88250,37310.6589677957,67260,3.639827045982174,2022
181,Maine,42.36,15.45497109447929,88120,32162.278704901655,31300,5.1260215194641425,2022
182,Maryland,55.88,22.342843291722218,116240,46487.52878438977,261600,9.907889952733003,2022
183,Massachusetts,57.33,20.50558788558609,119250,42645.08715647785,329040,9.22714526079641,2022
184,Michigan,45.59,17.703703607786267,94820,36816.28834038065,310510,7.310452315255163,2022
185,Minnesota,48.29,17.695897796845767,100440,36804.493316969136,199590,7.059360310684007,2022
186,Mississippi,37.89,16.161312182404668,78810,33627.51500154655,37810,3.3414343157615662,2022
187,Missouri,43.53,17.31597811823953,90530,36009.68528566869,158890,5.634996630847254,2022
188,Montana,37.3,12.192763128331869,77590,25367.747298760187,27200,5.555669029187688,2022
189,Nebraska,42.0,15.525134926277396,87370,32298.663410713736,59550,6.135822694816234,2022
190,Nevada,42.21,15.535539095582713,87800,32311.229517483604,54570,3.864238269908935,2022
191,New Hampshire,50.01,19.933243378538272,104020,41471.47720032766,51150,7.759169928096841,2022
192,New Jersey,58.11,24.02622554685732,120860,49963.41729551101,297300,7.2346503982342885,2022
193,New Mexico,48.81,22.653524670249148,101520,47126.42220322423,54850,6.698827552515876,2022
194,New York,56.69,20.6889092022883,117910,43039.729869479735,507660,5.573212221413492,2022
195,North Carolina,49.44,22.40855148552346,102840,46614.63016834785,319000,6.8638757875167835,2022
196,North Dakota,38.82,11.9889003970309,80740,24942.644571034005,18130,4.470913171068531,2022
197,Ohio,44.96,17.78414611325135,93530,36992.155462505325,306660,5.704421456779698,2022
198,Oklahoma,42.05,17.559771432844375,87470,36533.81634865838,81560,5.082316579219581,2022
199,Oregon,48.58,18.44014275999135,101040,38361.42148464065,140920,7.429002208878743,2022
200,Pennsylvania,46.46,18.344152680636636,96630,38159.21035149796,366750,6.3117840621213785,2022
201,Rhode Island,52.28,21.259156634047617,108730,44198.39672835771,29430,6.140588812151814,2022
202,South Carolina,41.87,17.52234302838823,87100,36458.23728104818,110430,5.130790317334944,2022
203,South Dakota,38.81,14.820623549684093,80720,30828.036300976448,22010,5.056863871338312,2022
204,Tennessee,42.3,16.906563427026402,87990,35176.25402846031,166640,5.338390666145557,2022
205,Texas,48.73,21.182721645104607,101350,44054.462064554566,868440,6.684045616279258,2022
206,Utah,45.27,17.697095378564406,94150,36788.899213372664,124240,7.63520157325467,2022
207,Vermont,43.14,14.678051757646013,89730,30531.476013501997,17510,5.970200143202973,2022
208,Virginia,55.43,23.893382674164616,115290,49698.59839506747,363750,9.39179873278493,2022
209,Washington,59.76,24.973349699160465,124290,51936.67916616502,352850,10.361271718734859,2022
210,West Virginia,40.42,16.778738276411257,84060,34899.00902495134,28320,4.176251990798089,2022
211,Wisconsin,42.11,15.131399755132456,87580,31465.046045744093,171170,6.074489415689267,2022
212,Wyoming,38.2,12.03055462310246,79460,25017.433143112903,11710,4.3676103092014475,2022
213,Guam,30.16,10.111098032621491,62730,21037.607196906,2420,4.069278627879603,2022
214,Puerto Rico,28.31,12.764544495642035,58880,26556.01099206129,36260,4.025981235774164,2022
215,Virgin Islands,32.66,9.656636729637654,67930,20075.63951687829,730,2.260761845772685,2022
216,Alabama,48.15,22.48020963625382,100150,46752.456017300836,126800,6.176086660042473,2023
217,Alaska,47.59,13.994305381727159,98990,29111.899489746793,19920,6.392606142293252,2023
218,Arizona,51.09,20.781735203149168,106260,43221.538028961055,214390,6.850133558273584,2023
219,Arkansas,40.91,16.26776720259258,85090,33841.565302205585,50450,3.9683163955573733,2023
220,California,67.42,30.423048460624173,140220,63261.93682014453,1461330,8.142969623719276,2023
221,Colorado,56.81,22.213095257432002,118150,46185.82321390108,263300,9.297283554789708,2023
222,Connecticut,55.46,20.006700636021968,115350,41606.855305001445,113160,6.815553628216247,2023
223,Delaware,55.22,23.49808216842823,114860,48866.70473917491,32560,6.938288441868394,2023
224,District of Columbia,62.01,10.934483849365229,128980,22751.2121168944,76390,10.88440220566234,2023
225,Florida,48.56,19.616117758087682,100990,40784.1136214944,514130,5.3732862610338765,2023
226,Georgia,50.51,21.056169780785638,105060,43806.62233338237,279440,5.873179343828159,2023
227,Hawaii,45.74,14.475594923578129,95140,30102.765774672996,29790,4.828435742418594,2023
228,Idaho,45.95,19.19776173285199,95580,39943.42559165664,46200,5.615724027276374,2023
229,Illinois,51.8,19.524142732622934,107750,40624.182921189815,338750,5.634882877607849,2023
230,Indiana,44.01,16.887281214163984,91530,35114.52115156776,156810,4.9674664368937576,2023
231,Iowa,44.22,17.105764649524843,91980,35581.12392863617,85660,5.545197959553588,2023
232,Kansas,46.28,19.2254447592068,96270,40001.32861189802,85200,6.0339943342776206,2023
233,Kentucky,41.09,15.114093099548668,85460,31435.014925677257,82840,4.219942334926085,2023
234,Louisiana,46.56,20.871589699005327,96850,43419.070772088606,68230,3.68440378862333,2023
235,Maine,44.96,16.1121466827503,93530,33529.91652593486,33510,5.389626055488541,2023
236,Maryland,58.71,23.313634567477024,122120,48496.33278927927,259900,9.70706983936088,2023
237,Massachusetts,60.93,22.310791118308188,126730,46398.86725493694,356420,9.782486379667622,2023
238,Michigan,47.86,18.72105592047765,99540,38942.76055897478,320330,7.367363085216976,2023
239,Minnesota,50.89,18.82335496858839,105860,39161.12595883517,204300,7.091041616049426,2023
240,Mississippi,38.78,15.911247532501417,80670,33096.16678986043,40360,3.509717813817992,2023
241,Missouri,44.27,16.587751877346687,92070,34489.29151022111,157710,5.482895285773884,2023
242,Montana,41.44,14.552696071592287,86200,30285.08540450043,28220,5.624539094732226,2023
243,Nebraska,44.4,16.47439851727514,92360,34280.25098415363,62410,6.2356373518773855,2023
