,area_name,education_category,tot_emp,pct_total ,h_mean,a_mean
199,Mississippi,No formal educational credential,291040,25.31,13.96,29040
200,Missouri,Doctoral or professional degree,67570,2.35,70.59,146830
201,Missouri,Master's degree,55820,1.94,40.74,84740
202,Missouri,Bachelor's degree,697040,24.23,40.97,85220
203,Missouri,Associate's degree,57350,1.99,29.41,61160
204,Missouri,Postsecondary nondegree award,194070,6.75,23.63,49150
205,Missouri,"Some college, no degree",60750,2.11,21.92,45590
206,Missouri,High school diploma or equivalent,1112030,38.66,22.93,47690
207,Missouri,No formal educational credential,631770,21.96,17.29,35960
208,Montana,Doctoral or professional degree,12550,2.5,66.5,138310
209,Montana,Master's degree,9010,1.8,39.33,81800
210,Montana,Bachelor's degree,108490,21.62,39.26,81660
211,Montana,Associate's degree,12050,2.4,28.89,60080
212,Montana,Postsecondary nondegree award,30340,6.05,24.63,51230
213,Montana,"Some college, no degree",14790,2.95,22.26,46300
214,Montana,High school diploma or equivalent,189090,37.69,23.95,49820
215,Montana,No formal educational credential,125410,25,16.64,34610
216,Nebraska,Doctoral or professional degree,24410,2.44,72.04,149850
217,Nebraska,Master's degree,18390,1.84,42.08,87520
218,Nebraska,Bachelor's degree,238480,23.83,41.76,86850
219,Nebraska,Associate's degree,18930,1.89,30.3,63020
220,Nebraska,Postsecondary nondegree award,75370,7.53,24.85,51700
221,Nebraska,"Some college, no degree",26790,2.68,20.22,42060
222,Nebraska,High school diploma or equivalent,362970,36.27,23.36,48590
223,Nebraska,No formal educational credential,235520,23.53,16.94,35230
224,Nevada,Doctoral or professional degree,25950,1.75,76.6,159340
225,Nevada,Master's degree,18110,1.22,46.39,96500
226,Nevada,Bachelor's degree,289060,19.51,47.87,99570
227,Nevada,Associate's degree,27900,1.88,32.65,67900
228,Nevada,Postsecondary nondegree award,81850,5.52,26.98,56110
229,Nevada,"Some college, no degree",27930,1.88,22.96,47750
230,Nevada,High school diploma or equivalent,550590,37.16,24.22,50370
231,Nevada,No formal educational credential,460430,31.07,17.81,37040
232,New Hampshire,Doctoral or professional degree,15650,2.32,81.71,169950
233,New Hampshire,Master's degree,14780,2.19,44.97,93540
234,New Hampshire,Bachelor's degree,171750,25.44,49.5,102970
235,New Hampshire,Associate's degree,16250,2.41,32.16,66900
236,New Hampshire,Postsecondary nondegree award,42020,6.22,26.07,54230
237,New Hampshire,"Some college, no degree",20470,3.03,23.12,48090
238,New Hampshire,High school diploma or equivalent,252350,37.38,25.34,52700
239,New Hampshire,No formal educational credential,141880,21.01,17.82,37070
240,New Jersey,Doctoral or professional degree,116940,2.78,77.31,160810
241,New Jersey,Master's degree,73690,1.75,53.14,110520
242,New Jersey,Bachelor's degree,1080840,25.72,58.29,121230
243,New Jersey,Associate's degree,91780,2.18,33.41,69490
244,New Jersey,Postsecondary nondegree award,234920,5.59,27.5,57200
245,New Jersey,"Some college, no degree",129790,3.09,24.19,50310
246,New Jersey,High school diploma or equivalent,1539380,36.63,27.67,57550
247,New Jersey,No formal educational credential,934830,22.25,19.51,40570
248,New Mexico,Doctoral or professional degree,21890,2.59,70.59,146820
249,New Mexico,Master's degree,17830,2.11,49.21,102350
250,New Mexico,Bachelor's degree,184100,21.77,44.7,92980
251,New Mexico,Associate's degree,22140,2.62,31.88,66310
252,New Mexico,Postsecondary nondegree award,49550,5.86,22.22,46220
253,New Mexico,"Some college, no degree",21650,2.56,20.83,43330
254,New Mexico,High school diploma or equivalent,327200,38.7,21.8,45340
255,New Mexico,No formal educational credential,201220,23.8,16.61,34540
256,New York,Doctoral or professional degree,324040,3.45,81.61,169750
257,New York,Master's degree,220940,2.35,51.58,107280
258,New York,Bachelor's degree,2474650,26.35,61.22,127330
259,New York,Associate's degree,185030,1.97,35,72800
260,New York,Postsecondary nondegree award,465910,4.96,27.25,56690
261,New York,"Some college, no degree",294660,3.14,25.25,52520
262,New York,High school diploma or equivalent,3619830,38.54,27.96,58150
263,New York,No formal educational credential,1807770,19.25,20.97,43620
264,North Carolina,Doctoral or professional degree,115990,2.42,70.33,146290
265,North Carolina,Master's degree,**,**,42.44,88280
266,North Carolina,Bachelor's degree,1181610,24.64,46.4,96510
267,North Carolina,Associate's degree,**,**,28.97,60260
268,North Carolina,Postsecondary nondegree award,311810,6.5,22.93,47690
269,North Carolina,"Some college, no degree",116800,2.44,21.27,44250
270,North Carolina,High school diploma or equivalent,1750010,36.5,23.34,48540
271,North Carolina,No formal educational credential,1131700,23.6,15.57,32380
272,North Dakota,Doctoral or professional degree,8100,1.94,68.76,143030
273,North Dakota,Master's degree,6850,1.64,43.07,89590
274,North Dakota,Bachelor's degree,84190,20.17,41.27,85850
275,North Dakota,Associate's degree,7770,1.86,30.22,62860
276,North Dakota,Postsecondary nondegree award,35330,8.46,25.64,53340
277,North Dakota,"Some college, no degree",11580,2.77,21.59,44900
278,North Dakota,High school diploma or equivalent,158200,37.89,26.42,54960
279,North Dakota,No formal educational credential,105480,25.26,18.53,38540
280,Ohio,Doctoral or professional degree,137200,2.51,73.17,152200
281,Ohio,Master's degree,103360,1.89,42.77,88960
282,Ohio,Bachelor's degree,1307340,23.9,44.26,92060
283,Ohio,Associate's degree,125050,2.29,30.12,62640
284,Ohio,Postsecondary nondegree award,373230,6.82,24.58,51120
285,Ohio,"Some college, no degree",131180,2.4,21.52,44770
286,Ohio,High school diploma or equivalent,2102860,38.45,23.55,48980
287,Ohio,No formal educational credential,1188940,21.74,16.71,34760
288,Oklahoma,Doctoral or professional degree,34050,2.05,74.61,155180
289,Oklahoma,Master's degree,33020,1.98,37.14,77260
290,Oklahoma,Bachelor's degree,351980,21.15,39.71,82590
291,Oklahoma,Associate's degree,36030,2.16,29.84,62070
